# Index Q0 Q1 Q2 Q3
584 -0.759465 -0.063318 0.316459 0.564852
585 -0.353187 0.142655 0.157498 0.911100
586 -0.280258 0.128582 0.144063 0.940302
587 -0.538126 0.036146 0.303399 0.785534
588 -0.924124 -0.266892 0.265292 0.066208
589 -0.727019 -0.026334 0.300761 0.616679
590 -0.969171 -0.140666 0.133774 0.151741
591 -0.049717 0.106981 0.220182 0.968299
592 -0.122667 0.166247 0.318750 0.925048
593 -0.981100 -0.027819 0.046709 -0.185707
594 0.659896 0.327502 0.031238 0.675503
595 0.716776 0.242543 0.040732 0.652492
596 -0.433021 0.105128 0.163661 0.880145
597 -0.705302 -0.071695 0.303185 0.636779
598 -0.299298 0.202587 0.260772 0.895197
